name,price
包邮OpenCV算法精解：基于Python与C++ OpenCV入门教程书籍,59.00
Python数据科学手册 图灵程序设计丛书,82.60
父与子的编程之旅 与小卡特一起学Python 教孩子编程的图书 python编程入门教程,49.00
Python机器学习基础教程 图灵程序设计丛书,60.80
正版现货 Python程序设计教程 范建农 电子工业出版社,28.30
Python网络编程 第3版 Python3爬虫数据分析编程理解技术 Python构建网络,58.40
Python机器学习算法 赵志勇 9787121313196,39.33
正版包邮 Python机器学习,54.00
像计算机科学家一样思考Python（第2版）Python语言编程教程书籍 理解对象正版,41.00
毫无障碍学Python(附光盘),46.40
跟老齐学Python：Django实战 计算机与互联网 书箱|6646709,55.20
Python网络爬虫从入门到实践 python数据抓取技术教程书籍 python网络爬虫,35.00
Selenium WebDriver3.0 自动化测试框架实战指南 python语言版,48.60
Python编程从入门到实践 python3.0基础教程 精通核心编程语言书籍 计算机程序,90.74
流畅的Python 计算机与互联网 书箱|5590444,111.20
新版Python程序设计第3版  Python3 爬虫Python核心编程基础教程,50.00
Python地理数据处理 python数据处理 ArcGIS 矢量数据,57.50
Python密码学编程 计算机与互联网 书籍,50.30
"Python网络编程攻略 [英] 萨卡尔,安道 9787115372697",25.65
Python金融实战,54.51
跟老齐学Python：Django实战+Python新手使用Django架站的16堂课2本,120.00
Python金融实战,64.20
Python编程基础,34.00
包邮 机器人制作实践指南+机器人系统设计与制作:Python语言实现 2本,97.00
Python 3学习笔记上卷雨痕 python3.6语言教程书籍 python编程从入,66.60
Python金融实战 计算机与互联网 书籍,57.60
Python硬件编程实战,35.30
Python基础教程,34.00
Python 3 基础教程 Python核心编程 Python入门自学,30.60
正版包邮 Python数据可视化,47.52
包邮Python贝叶斯分析+深入浅出强化学习 原理入门 机器学习强化学习教程书籍,110.80
Selenium 2自动化测试实战基于Python语言,38.35
Python 3.5从零开始学 python3.5编程教程书籍 python编程从入门到实,42.60
精通Python网络爬虫：核心技术、框架与项目实战 计算机与互联网 书箱|5386911,45.50
数据结构 Python语言描述,48.30
Python基础教程(第3版·修订版) 编程语言入门自学图书  人民邮电正版授,79.00
Python机器学习实践指南 计算机与互联网 书箱|5606775,55.20
学习Python-做个有编程能力的设计师,86.90
Python树莓派编程 沃尔弗拉姆多纳特 树莓派python开发教程书 树莓派入门教程,39.80
Python物理学高效计算,72.00
包邮 Python贝叶斯分析 从务实和编程的角度 主要概念和应用 概率编程书籍 计算机网,53.00
计算机科学丛书：Python计算与编程实践·多媒体方法（原书第2版）,56.90
正版 Python程序设计入门到实战 特级讲师带你轻松学Python 何敏煌 Python,55.20
漏洞战争：软件漏洞分析精要 安全之路Web渗透技术及实战案例解析（第2版） Python,724.00
Python网络编程（第3版）+数据分析实战+核心编程第3版+编程快速上手【套装4册】 基础+进阶2本,148.00
程序员入门 全9册 java+C语言+Python+C#+C++从入门到精通 编程思想从入,673.00
机器学习设计：Python语言实现 深度学习Java语言实现,43.50
Python高性能编程 Python高性能编程,67.00
从零开始学Python网络爬虫,50.20
Python程序设计教程 Python 3.0到3.5的实用特性 大数据工程师的Pytho,47.20
从零开始学Python网络爬虫,38.35
Web接口开发与自动化测试——基于Python语言+软件自动化测试开发 2本,83.60
Python网络编程（第3版）+数据分析实战+核心编程第3版+编程快速上手【套装4册】 编程4本套装,264.00
【官方正版】用Python写网络爬虫 全面剖析爬虫技术的实现原理 入门到精通计算机自学书籍,30.00
python语言程序设计基础 第2版嵩天 礼欣 黄天羽 教育部大+Python程序设计,76.40
Python物理学高效计算 Python编程书 程序设计 异步图书,73.90
Python基础教程 第3版,89.00
(正版特价)精通Python网络爬虫：核心技术、框架与项目实战 计算机与…|230066,31.00
Python数据处理,61.20
包邮 量化交易之路+量化投资+零起点Python大数据与量化交易 3本,214.80
Python入门经典正版书籍,31.00
包邮 Python机器学习实例+Python机器学习算法 机器学习入门教程书籍,95.00
python基础教程 零基础入门学习Python 3 鱼C工作室小甲鱼编著 程序设计核心编,40.00
包邮 跟老齐学Python：Django实战 +轻松入门 2本 Django开发实战教程,95.60
包邮Python Linux系统管理与自动化运维 Python Linux操作系统编程教程,66.00
包邮 爱上Python 一日精通Python编程 python编程基础学习手册教程工具书,31.80
Python编程-从入门到实践 从基本概念到完整项目开发 帮助零基础读者迅速掌握Pyth,66.00
面向机器智能的TensorFlow实践 Google深度学习框架 Python编程入门教程,50.00
Python数据可视化,55.20
Python数据分析与数据化运营,79.20
Python入门经典 解释型、面向对象、动态数据类型的高级程序设计语言 编程基础,27.30
Python编程实战：运用设计模式、并发和程序库创建高质量程序 计算机与…|3770418,45.50
正版 数据结构 Python语言描述 兰伯特李军Python语言描述Python语言版P,52.80
Python大战机器学习-数据科学家的第一个小目标,44.85
包邮 Python贝叶斯分析+贝叶斯方法+贝叶斯思维 3本,131.80
Python程序设计教程 林信良 9787302457862,33.63
从零开始学Python网络爬虫,48.40
Python网络数据采集+用Python写网络爬虫  数据抓取 数据分析 Python数,79.00
零起点Python机器学习快速入门 自学Excel增强人工智能AI工程师技术员算法软件基础,48.00
Python数据挖掘入门与实践 9787115427106,35.40
流畅的Python,90.40
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,48.30
Python+Spark 2 0+Hadoop机器学习与大数据实战 林大贵 9787302,77.20
Python参考手册 第4版 修订版,69.00
流畅的Python,132.10
正版现货  Head First Python(中文版),54.40
包邮 Python爬虫开发与项目实战+网络爬虫全解析+网络爬虫实战+精通Python,214.50
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
DK/机器人Python极客编程入门与实战::  9787121322921 电子工业出版,44.30
易学Python,37.70
Python高级编程-(第2版),75.70
Python Web开发实战+Flask Web开发,121.30
数据结构-(Python语言描述),58.70
人邮新书 Python地理数据处理 python数据处理 ArcGIS 矢量数据,67.20
Python数据挖掘：概念、方法与实践,42.00
包邮 Python程序设计与算法基础教程（21世纪高等学校计算机专业实用规划教材）Pyt,45.00
3本 Python高级编程+基础教程+核心编程 写网络爬虫 从入门到实践精通 机器学习人工,273.00
包邮 Python Qt GUI快速编程:PyQt编程指南 计算机网络 python语言,62.00
正版现货 Python生物信息学数据管理 (意)Allegra Via (阿莱格拉 维亚),49.00
正版 Python学习手册：第4版（涵盖Python2.6和3.X）,
Python程序设计入门到实战 何敏煌 正版书籍,52.44
Python核心编程 第3版,76.00
基于Python的Google App Engine编程,66.00
区域包邮 灰帽黑客(第4版)+Python黑帽子:黑客与渗透测试编程之道 2本,101.00
Python程序设计开发宝典 董付国 深入剖析Python 3.5.x 3.6.x 3.7,49.50
Effective Python：编写高质量Python代码的59个有效方法 英文版 (美,35.75
Python全栈数据工程师养成攻略 视频讲解版 Python机器学习入门教程书籍,42.60
Python可以这样学,49.70
Python数据挖掘入门与实践 python3爬虫数据分析 挖掘基础教程/python数据,43.60
Python面向对象编程指南 计算机与互联网 书籍,57.60
Python数据处理(影印版) 杰奎琳·卡兹奥、凯瑟琳·嘉穆编 东南大学出版社,62.40
流畅的Python/图灵程序设计丛书,94.52
贝叶斯思维 统计建模的Python学习法,35.30
教孩子学编程 Python语言版+趣学Python+趣学JavaScript 教孩子学编程,132.80
包邮 Python Web开发实战+SRE:Google运维解密 2本,161.00
包邮 量化投资+零起点Python大数据与量化交易+机器学习快速入门 3本 语言编程书籍,191.80
Python自然语言处理+Python计算机视觉编程2本,113.00
正版包邮 Python高效开发实战:Django、Tornado、Flask、Twiste,61.56
Raspberry Pi机器人制作实例:用Python、Linux和传感器搭建智能小,33.48
Python学习从入门到实践 python基础教程书籍 核心编程 网络爬虫,34.50
Python硬件编程实战,40.40
Python高性能编程,54.51
流畅的Python,132.10
流畅的Python,132.10
Python物理学高效计算+Python数据处理 Python编程教程书籍,147.90
流畅的Python,132.10
Python高手之路(第3版) 计算机与互联网 书籍,40.10
深入浅出深度学习 原理剖析与Python实践+深度学习原理与TensorFlow实践,119.00
包邮 Python地理数据处理+Python地理空间分析指南 第2版,118.00
Python高性能编程,54.51
Python编程快速上手+核心编程(第3版) python3.0绝技核心编程基础教程书,125.80
跟老齐学Python：轻松入门 计算机与互联网 书箱|5395126,47.20
“笨办法”学Python(第3版) [美]Zed A. Shaw 978711535054,36.80
Python编程 从入门到实践,60.50
21天学通Python 刘凌霞郝宁波吴海涛编 计算机与互联网 书籍,44.20
Python编程快速上手 让繁琐工作自动化 计算机与互联网 书箱|4971515,55.20
Python数据可视化编程实战 计算机与互联网 书籍,35.70
OpenCV算法精解 基于Python与C++ 张平编 计算机与互联网 书籍,64.00
精通Python自然语言处理 计算机与互联网 书籍,44.80
Python编程快速上手 让繁琐工作自动化 Python从入门到精通 Python编程书籍,45.50
编写高质量代码 改善Python程序的91个建议 张颖 计算机与互联网 书籍,56.60
Python数据处理/图灵程序设计丛书,68.31
包邮 OpenCV算法精解：基于Python与C++ OpenCV入门教程书籍  ope,60.20
包邮 硬黑客:智能硬件生死之战+Python 黑帽子 黑客攻防工具书 网络安全建模 黑客攻,78.00
Python贝叶斯分析 python编程教程书籍,49.50
Python数据处理,84.20
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署 [美],35.80
Python自然语言处理 计算机教材 自然语言处理入门,71.20
Python黑帽子 黑客与渗透测试编程之道  Python基础教程 计算机网络编程书籍,39.80
Python+Spark 2.0+Hadoop机器学习与大数据实战机器学习算法与大数据技术,73.80
包邮跟老齐学Python：Django实战+轻松入门 齐伟 Django开发实战教程书籍,95.60
OpenCV算法精解：基于Python与C++ OpenCV入门教程书籍,56.50
像计算机科学家一样思考Python(第2版) 计算机与互联网 书籍,32.30
Python 3学习笔记（上卷）基于Python 3.6 Python 编程书籍,66.80
OpenCV 3计算机视觉：Python语言实现(原书第2版) [爱尔兰] 乔·米尼奇诺(,35.80
Python可以这样学 9787302456469,46.90
零基础入门学习Python 小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,32.80
Python核心编程(第3版 英文版) 计算机与互联网 书籍,72.30
